Name,Damage,Weight,Gold,Upgrade,Perk,Type,Category,Speed
Ancient Nord Battle Axe,18,22,28,Steel Ingot,Steel,Battleaxe,Two-Handed,
Daedric Battleaxe,25,27,2750,Ebony Ingot,Daedric,Battleaxe,Two-Handed,
Dragonbone Battleaxe ,26,30,3000,Dragon Bone,Dragon,Battleaxe,Two-Handed,
Drainblood Battleaxe,21,5,266,,-,Battleaxe,Two-Handed,
Dwarven Battleaxe,20,23,300,Dwarven Metal Ingot,Dwarven,Battleaxe,Two-Handed,
Ebony Battleaxe,23,26,1585,Ebony Ingot,Ebony,Battleaxe,Two-Handed,
Elven Battleaxe,21,24,520,Refined Moonstone,Elven,Battleaxe,Two-Handed,
Glass Battleaxe,22,25,900,Refined Malachite,Glass,Battleaxe,Two-Handed,
Headsman's Axe,17,11,15,,-,Battleaxe,Two-Handed,
Honed Ancient Nord Battle Axe,21,25,50,Steel Ingot,Dwarven,Battleaxe,Two-Handed,
Iron Battleaxe,16,20,55,Iron Ingot,None,Battleaxe,Two-Handed,
Nord Hero Battle Axe,21,20,300,Steel Ingot,Steel,Battleaxe,Two-Handed,
Nordic Battleaxe DR,21,23,650,Quicksilver Ingot,Advanced,Battleaxe,Two-Handed,
Orcish Battleaxe,19,25,165,Orichalcum Ingot,Orcish,Battleaxe,Two-Handed,
Skyforge Steel Battleaxe,21,21,150,Steel Ingot,Steel,Battleaxe,Two-Handed,
Stalhrim Battleaxe ,24,25,2150,Stalhrim,Ebony,Battleaxe,Two-Handed,
Steel Battleaxe of Fiery Souls,18,21,320,Steel Ingot,Steel,Battleaxe,Two-Handed,
Steel Battleaxe,18,21,100,Steel Ingot,Steel,Battleaxe,Two-Handed,
Rueful Axe,22,10,1183,Ebony Ingot,None,Battleaxe,Two-Handed,
The Woodsman's Friend,17,20,28,,-,Battleaxe,Two-Handed,
Tsun's Battleaxe,27,36,1000,,-,Battleaxe,Two-Handed,
Wuuthrad,25,25,2000,,-,Battleaxe,Two-Handed,
Alessandra's Dagger,5,1,10,N/A,-,Dagger,One-Handed,
Blade of Woe,12,7,880,None required,Steel,Dagger,One-Handed,
Blade of Sacrifice,10,4,144,Ebony Ingot,None,Dagger,One-Handed,
Bloodthorn,8,2.5,183,Steel Ingot,Steel,Dagger,One-Handed,
Borvir's Dagger,8,4,18,Refined Moonstone,Elven,Dagger,One-Handed,
Daedric Dagger,11,6,500,Ebony Ingot,Daedric,Dagger,One-Handed,
Dragonbone Dagger ,12,6.5,600,Dragon Bone,Dragon,Dagger,One-Handed,
Dragon Priest Dagger,6,5,9,N/A,-,Dagger,One-Handed,
Dwarven Dagger,7,3.5,55,Dwarven Metal Ingot,Dwarven,Dagger,One-Handed,
Ebony Dagger,10,5,290,Ebony Ingot,Ebony,Dagger,One-Handed,
Elven Dagger,8,4,95,Refined Moonstone,Elven,Dagger,One-Handed,
Glass Dagger,9,4.5,165,Refined Malachite,Glass,Dagger,One-Handed,
Iron Dagger,4,2,10,Iron Ingot,None,Dagger,One-Handed,
Kahvozein's Fang,6,5,9,N/A,-,Dagger,One-Handed,
Keening,8,4,5,N/A,-,Dagger,One-Handed,
Mehrunes' Razor,11,3,860,Ebony Ingot,None,Dagger,One-Handed,
Nettlebane,6,10,5,Ebony Ingot,None,Dagger,One-Handed,
Nordic Dagger ,8,3.5,115,Quicksilver Ingot,Advanced,Dagger,One-Handed,
Orcish Dagger,6,3,30,Orichalcum Ingot,Orcish,Dagger,One-Handed,
Rundi's Dagger,5,2.5,18,Steel Ingot,Steel,Dagger,One-Handed,
Shiv,5,2,5,N/A,-,Dagger,One-Handed,
Skyforge Steel Dagger,8,2.5,25,N/A,-,Dagger,One-Handed,
Stalhrim Dagger ,10,4.5,395,Stalhrim,Ebony,Dagger,One-Handed,
Steel Dagger,5,2.5,18,Steel Ingot,Steel,Dagger,One-Handed,
Valdr's Lucky Dagger,5,2.5,15,Steel Ingot,Steel,Dagger,One-Handed,
Daedric Mace,16,20,1750,Ebony Ingot,Daedric,Mace,One-Handed,
Dragonbone Mace ,17,22,2000,Dragon Bone,Dragon,Mace,One-Handed,
Dwarven Mace,12,16,190,Dwarven Metal Ingot,Dwarven,Mace,One-Handed,
Ebony Mace,16,19,1000,Ebony Ingot,Ebony,Mace,One-Handed,
Elven Mace,13,17,330,Refined Moonstone,Elven,Mace,One-Handed,
Glass Mace,14,18,575,Refined Malachite,Glass,Mace,One-Handed,
Horksbane ,10,14,250,Steel Ingot,Steel,Mace,One-Handed,
Iron Mace,9,13,35,Iron Ingot,None,Mace,One-Handed,
Lunar Iron Mace (Lvl 2-3),9,13,99,Iron Ingot,None,Mace,One-Handed,
Lunar Iron Mace (Lvl 4-5),9,13,133,Iron Ingot,None,Mace,One-Handed,
Lunar Iron Mace (Lvl 6+),9,13,168,Iron Ingot,None,Mace,One-Handed,
Lunar Steel Mace (Lvl 4-5),10,14,129,Iron Ingot,None,Mace,One-Handed,
Lunar Steel Mace (Lvl 6-7),10,14,163,Iron Ingot,None,Mace,One-Handed,
Lunar Steel Mace (Lvl 8+),10,14,198,Iron Ingot,None,Mace,One-Handed,
Mace of Molag Bal,16,18,1257,Ebony Ingot,None,Mace,One-Handed,
Nordic Mace ,13,16,410,Quicksilver Ingot,Advanced,Mace,One-Handed,
Orcish Mace,11,15,105,Orichalcum Ingot,Orcish,Mace,One-Handed,
Prelate's Mace ,13,7,330,Refined Moonstone,Elven,Mace,One-Handed,
Rusty Mace,7,13,5,N/A,-,Mace,One-Handed,
Stalhrim Mace ,16,18,1375,Stalhrim,Ebony,Mace,One-Handed,
Steel Mace,10,14,65,Steel Ingot,Steel,Mace,One-Handed,
Akaviri Sword ,11,10,300,,-,Sword,One-Handed,
Amren's Family Sword,7,9,25,Iron Ingot,None,Sword,One-Handed,
Ancient Nord Sword,8,12,13,Steel Ingot,Steel,Sword,One-Handed,
Blades Sword,11,10,300,Steel Ingot,Steel,Sword,One-Handed,
Bloodscythe ,13,10,1859,Ebony Ingot,Daedric,Sword,One-Handed,
Bolar's Oathblade,11,10,1014,Quicksilver Ingot,Steel,Sword,One-Handed,
Ceremonial Sword,8,12,5,Steel Ingot,Steel,Sword,One-Handed,
Chillrend (Lv 1-10),10,11,552,Refined Malachite,Glass,Sword,One-Handed,
Chillrend (Lvl 11-18),11,12,635,Refined Malachite,Glass,Sword,One-Handed,
Chillrend (Lvl 19-26),12,13,872,Refined Malachite,Glass,Sword,One-Handed,
Chillrend (Lvl 27-35),13,14,846,Refined Malachite,Glass,Sword,One-Handed,
Chillrend (Lvl 36-45),14,15,1111,Refined Malachite,Glass,Sword,One-Handed,
Chillrend (Lvl 46+),15,16,1442,Refined Malachite,Glass,Sword,One-Handed,
Daedric Sword,14,16,1250,Ebony Ingot,Daedric,Sword,One-Handed,
Dawnbreaker,12,10,740,Ebony Ingot,None,Sword,One-Handed,
Dragonbane (Lvl 1-18),10,10,789,Quicksilver Ingot,Steel,Sword,One-Handed,
Dragonbane (Lvl 19-26),11,11,1046,Quicksilver Ingot,Steel,Sword,One-Handed,
Dragonbane (Lvl 27-35),12,12,1189,Quicksilver Ingot,Steel,Sword,One-Handed,
Dragonbane (Lvl 36-45),13,13,1860,Quicksilver Ingot,Steel,Sword,One-Handed,
Dragonbane (Lvl 46+),14,14,2596,Quicksilver Ingot,Steel,Sword,One-Handed,
Dragonbone Sword ,15,19,1500,Dragon Bone,Dragon,Sword,One-Handed,
Drainheart Sword,11,3,73,,-,Sword,One-Handed,
Dwarven Sword,10,12,135,Dwarven Metal Ingot,Dwarven,Sword,One-Handed,
Ebony Sword,13,15,720,Ebony Ingot,Ebony,Sword,One-Handed,
Eduj,11,9,300,Steel Ingot,Steel,Sword,One-Handed,
Elven Sword,11,13,235,Refined Moonstone,Elven,Sword,One-Handed,
Falmer Sword,10,18,67,Chaurus Chitin,None,Sword,One-Handed,
Forsworn Sword,10,13,70,Steel Ingot,Steel,Sword,One-Handed,
Gauldur Blackblade (Lvl 1-11),8,12,234,Steel Ingot,Dwarven,Sword,One-Handed,
Gauldur Blackblade (Lvl 12-18),8,12,465,Steel Ingot,Dwarven,Sword,One-Handed,
Gauldur Blackblade (Lvl 19-26),11,15,669,Steel Ingot,Dwarven,Sword,One-Handed,
Gauldur Blackblade (Lvl 27-35),11,15,975,Steel Ingot,Dwarven,Sword,One-Handed,
Gauldur Blackblade (Lvl 36+),11,15,1286,Steel Ingot,Dwarven,Sword,One-Handed,
Ghostblade,8,1,300,3 Ectoplasm,None,Sword,One-Handed,
Glass Sword,12,14,410,Refined Malachite,Glass,Sword,One-Handed,
Grimsever,12,14,727,Refined Malachite,Glass,Sword,One-Handed,
Harkon's Sword ,8,9,1472,Steel Ingot,Steel,Sword,One-Handed,
Herebane's Courage,11,13,639,Refined Moonstone,Elven,Sword,One-Handed,
Hjalti's Sword,8,12,13,,-,Sword,One-Handed,
Honed Ancient Nord Sword,11,15,23,Steel Ingot,Dwarven,Sword,One-Handed,
Honed Falmer Sword,12,18,205,,-,Sword,One-Handed,
Imperial Sword,8,10,23,Steel Ingot,Steel,Sword,One-Handed,
Iron Sword,7,9,25,Iron Ingot,None,Sword,One-Handed,
Lunar Iron Sword (Lvl 2-3),7,9,89,Iron Ingot,None,Sword,One-Handed,
Lunar Iron Sword (Lvl 4-5),7,9,123,Iron Ingot,None,Sword,One-Handed,
Lunar Iron Sword (Lvl 6+),7,9,158,Iron Ingot,None,Sword,One-Handed,
Lunar Steel Sword (Lvl 4-5),8,10,69,Steel Ingot,Steel,Sword,One-Handed,
Lunar Steel Sword (Lvl 6-7),8,10,103,Steel Ingot,Steel,Sword,One-Handed,
Lunar Steel Sword (Lvl 8+),8,10,138,Steel Ingot,Steel,Sword,One-Handed,
Miraak's Sword ,16,3,427,Daedra HeartEbony Ingot,Dwarven,Sword,One-Handed,
Nightingale Blade (Lvl1-18),10,11,426,Ebony Ingot,None,Sword,One-Handed,
Nightingale Blade (Lvl 19-26),11,12,851,Ebony Ingot,None,Sword,One-Handed,
Nightingale Blade (Lvl 27-35),12,13,1424,Ebony Ingot,None,Sword,One-Handed,
Nightingale Blade (Lvl 36-45),13,14,2248,Ebony Ingot,None,Sword,One-Handed,
Nightingale Blade (Lvl 46+),14,15,1665,Ebony Ingot,None,Sword,One-Handed,
Nord Hero Sword,11,9,135,Steel Ingot,Steel,Sword,One-Handed,
Nordic Sword ,11,12,290,Quicksilver Ingot,Advanced,Sword,One-Handed,
Orcish Sword,9,11,75,Orichalcum Ingot,Orcish,Sword,One-Handed,
Phantom Sword,1,0,0,,-,Sword,One-Handed,
Queen Freydis's Sword,8,10,45,Steel Ingot,Steel,Sword,One-Handed,
Red Eagle's Bane,11,15,100,Steel Ingot,Dwarven,Sword,One-Handed,
Red Eagle's Fury,8,12,97,Steel Ingot,Steel,Sword,One-Handed,
Scimitar,11,10,5,Steel Ingot,Steel,Sword,One-Handed,
Silver Sword,8,7,100,,-,Sword,One-Handed,
Skyforge Steel Sword,11,10,70,Steel Ingot,Steel,Sword,One-Handed,
Stalhrim Sword ,13,14,985,Stalhrim,Ebony,Sword,One-Handed,
Steel Sword,8,10,45,Steel Ingot,Steel,Sword,One-Handed,
Soulrender ,13,10,1000,Ebony Ingot,Daedric,Sword,One-Handed,
The Pale Blade (Lvl 1-5),8,12,169,Steel Ingot,Steel,Sword,One-Handed,
The Pale Blade (Lvl 6-11),8,12,286,Steel Ingot,Steel,Sword,One-Handed,
The Pale Blade (Lvl 12-18),11,15,452,Steel Ingot,Steel,Sword,One-Handed,
The Pale Blade (Lvl 19-26),11,15,667,Steel Ingot,Steel,Sword,One-Handed,
The Pale Blade (Lvl 27+),11,15,914,Steel Ingot,Steel,Sword,One-Handed,
Vilkas's Sword,11,10,70,Steel Ingot,Steel,Sword,One-Handed,
Windshear,11,10,40,Steel Ingot,Steel,Sword,One-Handed,
Wooden Sword ,2,3,25,Firewood,None,Sword,One-Handed,
Ancient Nord War Axe,9,14,15,Steel Ingot,Steel,War Axe,One-Handed,
Ancient Nordic Pickaxe ,5,10,500,,–,War Axe,One-Handed,
Ceremonial Axe,9,14,5,Steel Ingot,Steel,War Axe,One-Handed,
Daedric War Axe,15,18,1500,Ebony Ingot,Daedric,War Axe,One-Handed,
Dawnguard Rune Axe ,11,13,175,Steel Ingot,Steel,War Axe,One-Handed,
Dawnguard War Axe ,11,13,55,Steel Ingot,Steel,War Axe,One-Handed,
Dragonbone War Axe ,16,21,1700,Dragon Bone,Dragon,War Axe,One-Handed,
Dwarven War Axe,11,14,165,Dwarven Metal Ingot,Dwarven,War Axe,One-Handed,
Ebony War Axe,15,17,865,Ebony Ingot,Ebony,War Axe,One-Handed,
Elven War Axe,12,15,280,Refined Moonstone,Elven,War Axe,One-Handed,
Falmer War Axe,11,21,82,Chaurus Chitin,,War Axe,One-Handed,
Forsworn Axe,11,15,90,Steel Ingot,Steel,War Axe,One-Handed,
Ghorbash's Ancestral Axe,8,11,30,Iron Ingot,,War Axe,One-Handed,
Glass War Axe,14,16,490,Refined Malachite,Glass,War Axe,One-Handed,
Hoarfrost ,5,10,946,,–,War Axe,One-Handed,
Honed Draugr War Axe,11,16,27,Steel Ingot,Dwarven,War Axe,One-Handed,
Honed Falmer War Axe,13,21,245,,–,War Axe,One-Handed,
Illusory War Axe,1,14,15,,–,War Axe,One-Handed,
Iron War Axe,8,11,30,Iron Ingot,,War Axe,One-Handed,
Lunar Iron War Axe (Lvl 2-3),8,11,94,Iron Ingot,,War Axe,One-Handed,
Lunar Iron War Axe (Lvl 4-5),8,11,128,Iron Ingot,,War Axe,One-Handed,
Lunar Iron War Axe (Lvl 6+),8,11,163,Iron Ingot,,War Axe,One-Handed,
Lunar Steel War Axe (Lvl 2-3),9,12,119,Steel Ingot,Steel,War Axe,One-Handed,
Lunar Steel War Axe (Lvl 4-5),9,12,153,Steel Ingot,Steel,War Axe,One-Handed,
Lunar Steel War Axe (Lvl 6+),9,12,188,Steel Ingot,Steel,War Axe,One-Handed,
Nord Hero War Axe,12,11,165,Steel Ingot,Steel,War Axe,One-Handed,
Nordic War Axe ,12,14,350,Quicksilver Ingot,Advanced,War Axe,One-Handed,
Notched Pickaxe,5,10,303,Iron Ingot,,War Axe,One-Handed,
Okin,12,11,320,Steel Ingot,Steel,War Axe,One-Handed,
Orcish War Axe,10,13,90,Orichalcum Ingot,Orcish,War Axe,One-Handed,
Pickaxe,5,10,5,,–,War Axe,One-Handed,
Poacher's Axe,5,10,32,Steel Ingot,,War Axe,One-Handed,
Skyforge Steel War Axe,12,12,80,Steel Ingot,Steel,War Axe,One-Handed,
Stalhrim War Axe ,15,16,1180,Stalhrim,Ebony,War Axe,One-Handed,
Steel War Axe,9,12,55,Steel Ingot,Steel,War Axe,One-Handed,
Ulfric's War Axe,9,12,55,Steel Ingot,Steel,War Axe,One-Handed,
Woodcutter's Axe,5,10,5,,–,War Axe,One-Handed,
Fork,1,0.5,5,,,Silverware,One-Handed,
Knife,2,0.5,1,,,Silverware,One-Handed,
Ancient Nord Greatsword,17,18,35,Steel Ingot,Steel,Greatsword,Two-Handed,
Balgruuf's Greatsword,17,17,200,Steel Ingot,Steel,Greatsword,Two-Handed,
Bloodskal Blade DR,21,16,1250,Silver Ingot,-,Greatsword,Two-Handed,
Daedric Greatsword,24,23,2500,Ebony Ingot,Daedric,Greatsword,Two-Handed,
Dragonbone Greatsword ,25,27,2725,Dragon Bone,Dragon,Greatsword,Two-Handed,
Dwarven Greatsword,19,19,270,Dwarven Metal Ingot,Dwarven,Greatsword,Two-Handed,
Ebony Greatsword,22,22,1440,Ebony Ingot,Ebony,Greatsword,Two-Handed,
Ebony Blade,11,10,2000,,-,Greatsword,Two-Handed,
Elven Greatsword,20,20,470,Refined Moonstone,Elven,Greatsword,Two-Handed,
Glass Greatsword,21,22,820,Refined Malachite,Glass,Greatsword,Two-Handed,
Honed Ancient Nord Greatsword,20,21,63,Steel Ingot,Dwarven,Greatsword,Two-Handed,
Iron Greatsword,15,16,50,Iron Ingot,None,Greatsword,Two-Handed,
Nord Hero Greatsword,20,16,250,Steel Ingot,Steel,Greatsword,Two-Handed,
Nordic Greatsword DR,20,19,585,Quicksilver Ingot,Advanced,Greatsword,Two-Handed,
Orcish Greatsword,18,18,75,Orichalcum Ingot,Orcish,Greatsword,Two-Handed,
Silver Greatsword,17,12,160,,-,Greatsword,Two-Handed,
Skyforge Steel Greatsword,20,17,140,Steel Ingot,Steel,Greatsword,Two-Handed,
Stalhrim Greatsword ,23,21,1970,Stalhrim,Ebony,Greatsword,Two-Handed,
Steel Greatsword,17,17,90,Steel Ingot,Steel,Greatsword,Two-Handed,
Stormfang ,17,17,1175,Steel Ingot,Steel,Greatsword,Two-Handed,
Aegisbane,18,24,180,Iron Ingot,None,Warhammer,Two-Handed,
Champion's Cudgel ,24,27,1767,,-,Warhammer,Two-Handed,
Daedric Warhammer,27,31,4000,Ebony Ingot,Daedric,Warhammer,Two-Handed,
Dawnguard Warhammer ,22,26,110,Steel Ingot,Steel,Warhammer,Two-Handed,
Dawnguard Rune Hammer ,22,26,500,Steel Ingot,Steel,Warhammer,Two-Handed,
Dragonbone Warhammer ,28,33,4275,Dragon Bone,Dragon,Warhammer,Two-Handed,
Dwarven Warhammer,22,27,325,Dwarven Metal Ingot,Dwarven,Warhammer,Two-Handed,
Ebony Warhammer,25,30,1725,Ebony Ingot,Ebony,Warhammer,Two-Handed,
Elven Warhammer,23,28,565,Refined Moonstone,Elven,Warhammer,Two-Handed,
Glass Warhammer,24,29,985,Refined Malachite,Glass,Warhammer,Two-Handed,
Iron Warhammer,18,24,60,Iron Ingot,None,Warhammer,Two-Handed,
Nordic Warhammer ,23,27,700,Quicksilver Ingot,Advanced,Warhammer,Two-Handed,
Orcish Warhammer,21,26,180,Orichalcum Ingot,Orcish,Warhammer,Two-Handed,
Shagrol's Warhammer,21,26,200,Orichalcum Ingot,Orcish,Warhammer,Two-Handed,
Stalhrim Warhammer ,26,29,2850,Stalhrim,Ebony,Warhammer,Two-Handed,
Steel Warhammer,20,25,110,Steel Ingot,Steel,Warhammer,Two-Handed,
The Longhammer,21,18,90,Orichalcum Ingot,Orcish,Warhammer,Two-Handed,
Trollsbane,20,25,121,Steel Ingot,Steel,Warhammer,Two-Handed,
Volendrung,25,26,1843,Ebony Ingot,None,Warhammer,Two-Handed,
Ancient Nord Bow,8,12,45,Steel Ingot,Steel,Bow,Archery,0.875
Angi's Bow,7,7,50,Steel Ingot,Steel,Bow,Archery,0.937
Auriel's Bow DG,13,11,1000,Refined Moonstone,Elven,Bow,Archery,1
Bow of the Hunt,10,7,434,Steel Ingot,Steel,Bow,Archery,0.937
Daedric Bow,19,18,2500,Ebony Ingot,Daedric,Bow,Archery,0.5
Dragonbone Bow DG,20,20,2725,Dragon Bone,Dragon,Bow,Archery,0.75
Drainspell Bow,14,6,458,,-,Bow,Archery,0.875
Dravin's Bow,7,7,50,Leather Strips,Steel,Bow,Archery,0.937
Dwarven Bow,12,10,270,Dwarven Metal Ingot,Dwarven,Bow,Archery,0.75
Dwarven Black Bow of Fate DR,13,10,1446,Ebony Ingot,Dwarven,Bow,Archery,0.75
Ebony Bow,17,16,1440,Ebony Ingot,Ebony,Bow,Archery,0.562
Elven Bow,13,12,470,Refined Moonstone,Elven,Bow,Archery,0.687
Falmer Bow,12,15,135,Chaurus Chitin,None,Bow,Archery,0.75
Falmer Supple Bow,15,20,410,,-,Bow,Archery,0.75
Firiniel's End,13,12,785,Refined Moonstone,Elven,Bow,Archery,0.687
Forsworn Bow,12,11,145,Steel Ingot,Steel,Bow,Archery,0.875
Froki's Bow,6,5,307,Iron Ingot,None,Bow,Archery,1
Gauldur Blackbow,8,12,253,Steel Ingot,Dwarven,Bow,Archery,0.875
Gauldur Blackbow,8,12,407,Steel Ingot,Dwarven,Bow,Archery,0.875
Gauldur Blackbow,14,18,530,Steel Ingot,Dwarven,Bow,Archery,0.875
Gauldur Blackbow,14,18,750,Steel Ingot,Dwarven,Bow,Archery,0.875
Gauldur Blackbow,14,18,972,Steel Ingot,Dwarven,Bow,Archery,0.875
Glass Bow,15,14,820,Refined Malachite,Glass,Bow,Archery,0.625
Glass Bow of the Stag Prince DR,16,14,375,Refined Malachite,Glass,Bow,Archery,0.625
Hunting Bow,7,7,50,Leather Strips,Steel,Bow,Archery,0.937
Imperial Bow,9,8,90,Steel Ingot,None,Bow,Archery,0.75
Karliah's Bow,25,9,5,,-,Bow,Archery,0.625
Long Bow,6,5,30,Firewood,None,Bow,Archery,1
Nord Hero Bow,11,7,200,Steel Ingot,-,Bow,Archery,0.875
Nordic Bow DR,13,11,580,Quicksilver Ingot,Advanced,Bow,Archery,0.6875
Orcish Bow,10,9,150,Orichalcum Ingot,Orcish,Bow,Archery,0.812
Stalhrim Bow DR,17,15,1800,Stalhrim,Ebony,Bow,Archery,0.5625
Supple Ancient Nord Bow,14,18,235,,-,Bow,Archery,0.875
Nightingale Bow,12,9,493,Ebony Ingot,None,Bow,Archery,0.5
Nightingale Bow,13,11,838,Ebony Ingot,None,Bow,Archery,0.5
Nightingale Bow,15,13,1409,Ebony Ingot,None,Bow,Archery,0.5
Nightingale Bow,17,15,2240,Ebony Ingot,None,Bow,Archery,0.5
Nightingale Bow,19,18,3405,Ebony Ingot,None,Bow,Archery,0.5
Zephyr DG,12,10,670,Dwarven Metal Ingot,Dwarven,Bow,Archery,1
Ancient Nord Arrow,10,0,1,,,Arrow,Archery,
Bloodcursed Elven Arrow DG,16,0,6,,,Arrow,Archery,
Daedric Arrow,24,0,8,,,Arrow,Archery,
Dragonbone Arrow DG,25,0,9,,,Arrow,Archery,
Dwarven Arrow,14,0,4,,,Arrow,Archery,
Dwarven Sphere Centurion Arrow,20,0,0,,,Arrow,Archery,
Ebony Arrow,20,0,7,,,Arrow,Archery,
Elven Arrow,16,0,5,,,Arrow,Archery,
Falmer Arrow,7,0,1,,,Arrow,Archery,
Forsworn Arrow,7,0,1,,,Arrow,Archery,
Glass Arrow,18,0,6,,,Arrow,Archery,
Iron Arrow,8,0,1,,,Arrow,Archery,
Nordic Arrow DR,14,0,4,,,Arrow,Archery,
Orcish Arrow,12,0,3,,,Arrow,Archery,
Practice Arrow,0,0,0,,,Arrow,Archery,
Riekling Spear DR,10,0,2,,,Arrow,Archery,
Rusty Arrow,4,0,0,,,Arrow,Archery,
Stalhrim Arrow DR,20,0,7,,,Arrow,Archery,
Steel Arrow,10,0,2,,,Arrow,Archery,
Sunhallowed Elven Arrow DG,16,0,16,,,Arrow,Archery,
Crossbow,19,14,120,Steel Ingot,,Crossbow,Archery,
Dwarven Crossbow,22,20,350,Dwarven metal ingot,,Crossbow,Archery,
Enhanced Crossbow,19,15,200,Steel Ingot,,Crossbow,Archery,
Enhanced Dwarven Crossbow,22,21,550,Dwarven metal ingot,,Crossbow,Archery,
Steel Bolt,10,0,1,,,Bolt,Archery,
Dwarven Bolt,14,0,3,,,Bolt,Archery,
Exploding Steel Bolt of Fire,10,0,5,,,Bolt,Archery,
Exploding Steel Bolt of Ice,10,0,5,,,Bolt,Archery,
Exploding Steel Bolt of Shock,10,0,5,,,Bolt,Archery,
Exploding Dwarven Bolt of Fire,14,0,15,,,Bolt,Archery,
Exploding Dwarven Bolt of Ice,14,0,15,,,Bolt,Archery,
Exploding Dwarven Bolt of Shock,14,0,15,,,Bolt,Archery,